day,animal,group,n_recordings,recordings,total_frames,bregma_row,bregma_col,profile,channel_order,animal_path,recording_paths
260807,R6,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\R6,D:\WF_2026\starting\260807\R6\t1;D:\WF_2026\starting\260807\R6\t2;D:\WF_2026\starting\260807\R6\t3;D:\WF_2026\starting\260807\R6\t4;D:\WF_2026\starting\260807\R6\t5
260807,T10,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\T10,D:\WF_2026\starting\260807\T10\t1;D:\WF_2026\starting\260807\T10\t2;D:\WF_2026\starting\260807\T10\t3;D:\WF_2026\starting\260807\T10\t4;D:\WF_2026\starting\260807\T10\t5
260807,T11,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\T11,D:\WF_2026\starting\260807\T11\t1;D:\WF_2026\starting\260807\T11\t2;D:\WF_2026\starting\260807\T11\t3;D:\WF_2026\starting\260807\T11\t4;D:\WF_2026\starting\260807\T11\t5
260807,T12,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\T12,D:\WF_2026\starting\260807\T12\t1;D:\WF_2026\starting\260807\T12\t2;D:\WF_2026\starting\260807\T12\t3;D:\WF_2026\starting\260807\T12\t4;D:\WF_2026\starting\260807\T12\t5
260807,T13,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\T13,D:\WF_2026\starting\260807\T13\t1;D:\WF_2026\starting\260807\T13\t2;D:\WF_2026\starting\260807\T13\t3;D:\WF_2026\starting\260807\T13\t4;D:\WF_2026\starting\260807\T13\t5
260807,T9,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260807\T9,D:\WF_2026\starting\260807\T9\t1;D:\WF_2026\starting\260807\T9\t2;D:\WF_2026\starting\260807\T9\t3;D:\WF_2026\starting\260807\T9\t4;D:\WF_2026\starting\260807\T9\t5
260810,R7,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260810\R7,D:\WF_2026\starting\260810\R7\t1;D:\WF_2026\starting\260810\R7\t2;D:\WF_2026\starting\260810\R7\t3;D:\WF_2026\starting\260810\R7\t4;D:\WF_2026\starting\260810\R7\t5
260810,T14,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260810\T14,D:\WF_2026\starting\260810\T14\t1;D:\WF_2026\starting\260810\T14\t2;D:\WF_2026\starting\260810\T14\t3;D:\WF_2026\starting\260810\T14\t4;D:\WF_2026\starting\260810\T14\t5
260828,PV6,P,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260828\PV6,D:\WF_2026\starting\260828\PV6\t1;D:\WF_2026\starting\260828\PV6\t2;D:\WF_2026\starting\260828\PV6\t3;D:\WF_2026\starting\260828\PV6\t4;D:\WF_2026\starting\260828\PV6\t5
260828,PV7,P,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,D:\WF_2026\starting\260828\PV7,D:\WF_2026\starting\260828\PV7\t1;D:\WF_2026\starting\260828\PV7\t2;D:\WF_2026\starting\260828\PV7\t3;D:\WF_2026\starting\260828\PV7\t4;D:\WF_2026\starting\260828\PV7\t5
